"","year","country","pa_pp","spatial_lag_pp","time_spatial_lag_pp","rel_lag_pp","time_rel_lag_pp","trade_lag_pp","time_trade_lag_pp","trade_lag_pp_20","time_trade_lag_pp_20","lang_lag_pp","time_lang_lag_pp","env_igo_lag_pp","time_env_igo_lag_pp","env_igo_lag_pp_20","time_env_igo_lag_pp_20","gdppc","tradeo","gdpg","fdiprop","odaprop","nrr","popd","fhipr","av_pp","US","env_igo_nb"
"29",1961,"ETH",0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"30",1961,"FIN",0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,1179.353011,NA,NA,NA,0,NA,NA,NA,NA,NA,6
"31",1961,"FJI",0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,279.5344978,NA,NA,NA,0.00961466406105601,NA,NA,NA,NA,NA,0
"32",1961,"FRA",0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,1333.881573,27.19391895,NA,NA,0,NA,NA,NA,NA,NA,12
"33",1961,"GBR",0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,1397.594803,NA,NA,NA,0,NA,NA,NA,NA,NA,12
"34",1961,"GHA",0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,176.0956484,63.63636364,NA,NA,0.00241560418899774,NA,NA,NA,NA,NA,2
"35",1961,"GIN",0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"36",1961,"GRC",0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,520.3227443,24.47375971,NA,NA,0,NA,NA,NA,NA,NA,7
"37",1961,"GRD",0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"38",1961,"GTM",0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,252.7561712,27.1751655,NA,NA,0.015935224945882,NA,NA,NA,NA,NA,3
"39",1961,"GUY",0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,297.5843078,105.688828,NA,NA,0.0444731024514642,NA,NA,NA,NA,NA,0
"40",1961,"HND",0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,161.4775594,44.42127216,NA,NA,0.0160583937613586,NA,NA,NA,NA,NA,2
"41",1961,"HUN",0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2
"42",1961,"IDN",0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,24.09021015,NA,NA,NA,NA,NA,NA,NA,NA,4
"43",1961,"IRN",0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,196.3239271,31.23754167,NA,NA,0.00646085517639268,NA,NA,NA,NA,NA,1
"44",1961,"ISL",0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,1414.982269,NA,NA,NA,0,NA,NA,NA,NA,NA,6
"45",1961,"ITA",0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,804.4926233,NA,NA,NA,0,NA,NA,NA,NA,NA,9
"46",1961,"JAM",0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,425.6454265,71.29296166,NA,NA,NA,NA,NA,NA,NA,NA,0
"47",1961,"JPN",0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,475.3190756,NA,NA,NA,0,NA,NA,NA,NA,NA,8
"48",1961,"KEN",0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,102.0798676,64.76585106,NA,NA,0.0266787844398194,NA,NA,NA,NA,NA,0
"49",1961,"LAO",0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"50",1961,"LCA",0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"51",1961,"LIE",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
"52",1961,"LKA",0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,142.7796219,62.86589331,NA,NA,0.0078659515270851,NA,NA,NA,NA,NA,2
"53",1961,"MAR",0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,172.5989838,46.27024488,NA,NA,0.0293547250924168,NA,NA,NA,NA,NA,4
"54",1961,"MDG",0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,132.670284,26.65470908,NA,NA,0.00393711491504751,NA,NA,NA,NA,NA,1
"55",1961,"MEX",0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,359.5450597,20.16920245,NA,NA,0.000595092042101227,NA,NA,NA,NA,NA,6
"56",1961,"MLI",0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"57",1961,"MMR",0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"58",1961,"MNG",0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"59",1961,"MOZ",0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"60",1961,"MUS",0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
